transaction_id,user_id,transaction_date,username,email,age,subscription,region,city,store_id,product_category,sale_amount,price,status,raw_timestamp
130,1160,2026-01-01,whitneyjustin,derrickhale@example.org,48,Basic,South,Hyderabad,6,Electronics,3399.78,389.57,,1982-12-26 19:49:53
222,1121,2025-08-19,jonathan70,scott37@example.org,42,Basic,East,Chennai,20,Books,2110.99,1869.75,Pending,1993-12-14 00:30:06
227,1055,2026-03-29,dpeterson,martinezmichele@example.com,41,Premium,North,Bangalore,2,Electronics,4754.58,2982.99,Completed,1988-01-24 20:32:51
249,1051,2025-10-28,byrddeborah,maldonadotoni@example.org,20,Basic,West,Chennai,9,Electronics,3217.93,719.39,Completed,1973-03-24 00:16:21
265,1016,2026-05-22,rodriguezdaniel,jmorgan@example.com,58,Premium,West,Chennai,5,Groceries,3495.5,2024.14,Pending,1981-08-08 11:26:57
205,1199,2026-04-04,torreslori,gfleming@example.net,22,Premium,West,Hyderabad,10,Books,2068.42,1298.06,,2015-01-29 06:36:26
151,1016,2026-05-30,franklinkristin,mbuchanan@example.net,33,Basic,South,Mumbai,9,Clothing,2551.65,385.85,Completed,2005-06-12 02:07:05
8,1088,2025-12-31,amandasmith,cwarren@example.net,33,Basic,South,Hyderabad,1,Electronics,3446.14,1001.47,Pending,1978-09-25 17:31:16
33,1074,2025-11-22,crystalcooper,abaker@example.com,18,Basic,South,Delhi,14,Clothing,3891.8,2201.29,Completed,2025-01-14 07:10:02
45,1094,2025-11-01,stephen95,katrinawashington@example.org,21,Basic,West,Delhi,11,Clothing,975.32,2675.03,Pending,2015-02-04 13:41:09
75,1097,2025-09-19,briannapugh,romeroisaac@example.com,45,Basic,West,Delhi,14,Electronics,2807.92,359.58,Completed,2007-08-06 02:43:47
123,1045,2026-01-27,emiranda,wmiller@example.org,24,Premium,North,Hyderabad,10,Books,1269.13,2973.22,Pending,2010-12-26 22:21:31
216,1107,2025-08-04,christinamartin,ravenward@example.net,33,Premium,South,Mumbai,11,Books,761.15,1070.37,,2010-04-21 08:35:19
31,1187,2026-04-26,mary79,davidhodge@example.com,63,Basic,West,Delhi,2,Books,2771.52,652.34,Completed,2021-03-22 19:17:55
62,1083,2025-07-02,johnwhite,apatton@example.com,30,Premium,East,Delhi,5,Groceries,4002.73,150.03,Completed,2003-02-22 08:46:58
259,1052,2025-11-11,judy63,shannon10@example.net,40,Premium,West,Chennai,20,Books,3889.88,1257.74,Completed,1989-08-28 08:33:00
227,1088,2025-12-27,shawn00,brian42@example.org,47,Premium,North,Mumbai,9,Electronics,4672.65,1022.31,,2023-06-08 04:56:09
16,1166,2025-09-21,loriwright,jameswelch@example.com,45,Basic,North,Delhi,13,Groceries,3082.44,2947.32,Pending,2014-06-09 10:56:52
57,1063,2026-02-16,john10,gavin74@example.net,52,Premium,North,Mumbai,20,Clothing,3347.12,2243.38,,2021-04-16 22:48:40
107,1139,2026-03-18,tracy07,fuentestina@example.org,33,Premium,North,Delhi,16,Groceries,1705.37,756.7,Completed,2014-02-26 19:39:19
165,1057,2025-10-04,carrie21,jmcdaniel@example.com,54,Premium,North,Chennai,13,Groceries,1802.08,2564.31,,1997-08-13 21:50:59
251,1190,2025-10-18,pjohnson,chelsea98@example.org,57,Premium,North,Bangalore,1,Books,279.15,1379.53,Completed,1973-05-18 03:25:42
47,1060,2026-02-25,debra17,cuevasdaniel@example.com,26,Basic,North,Delhi,18,Electronics,4561.73,930.88,Completed,1980-03-21 23:45:20
