customer_id,customer_name,email,city,customer_type
1,Allison Hill,donaldgarcia@example.net,Kolkata,REGULAR
2,Angie Henderson,davisjesse@example.net,Mumbai,REGULAR
3,Cristian Santos,lrobinson@example.com,Hyderabad,VIP
4,Abigail Shaffer,jpeterson@example.org,Kolkata,REGULAR
5,Gabrielle Davis,howardmaurice@example.com,Delhi,REGULAR
6,Monica Herrera,smiller@example.net,Chennai,VIP
7,Shannon Ray,williamsjeremy@example.com,Delhi,REGULAR
8,Dr. Sharon James,xreid@example.org,Pune,REGULAR
9,Daniel Adams,lynchgeorge@example.net,Bangalore,PREMIUM
10,Joel Nelson,gabriellecameron@example.org,Delhi,REGULAR
11,Andrew Stewart,carl95@example.org,Bangalore,PREMIUM
12,Jennifer Rocha,ithomas@example.org,Delhi,VIP
13,Kimberly Burgess,zhurst@example.com,Pune,VIP
14,Zachary Hicks,camposmichelle@example.org,Bangalore,REGULAR
15,Rebecca Henderson,cruzcaitlin@example.com,Delhi,REGULAR
16,Tricia Valencia,frazierdanny@example.net,Bangalore,PREMIUM
17,Patricia Peterson,ryan70@example.net,Pune,REGULAR
18,Deborah Mason,williamrodriguez@example.net,Mumbai,VIP
19,Mark Lynch,nathanielmartin@example.net,Bangalore,VIP
20,Linda Burns,hickmannatasha@example.com,Mumbai,REGULAR
21,David Bradley,millertodd@example.org,Delhi,VIP
22,Kim Martinez,karroyo@example.com,Mumbai,VIP
23,Lisa Brandt,jenniferross@example.net,Hyderabad,REGULAR
24,Jessica Holmes,wrightcaleb@example.org,Pune,PREMIUM
25,Crystal Robinson,zimmermanbrian@example.org,Mumbai,VIP
26,Shannon Jones,joshuawashington@example.net,Pune,REGULAR
27,Timothy Duncan,esanchez@example.com,Kolkata,VIP
28,Brent Jordan,ujenkins@example.org,Delhi,REGULAR
29,Victoria Garcia,zchandler@example.org,Delhi,VIP
30,Connor West,dwhite@example.org,Kolkata,PREMIUM
31,Angela Morton,williamsyvette@example.org,Chennai,VIP
32,Tammy Allison,richardolson@example.com,Hyderabad,REGULAR
33,Carmen Smith,ybaker@example.com,Chennai,VIP
34,Michael Cross,smoore@example.org,Bangalore,PREMIUM
35,Lauren Daniels,brian97@example.net,Ahmedabad,VIP
36,Kim Brown,yorkcasey@example.org,Hyderabad,VIP
37,Cynthia Wilson,bethwilliams@example.org,Delhi,VIP
38,Kevin Mills,james53@example.com,Delhi,PREMIUM
39,Michael Evans,sarah10@example.com,Hyderabad,VIP
40,Kristine Garcia,williamanderson@example.com,Delhi,VIP
41,Sherry Wood,samueldaniels@example.com,Bangalore,VIP
42,Victoria Valdez,contrerasangela@example.net,Mumbai,REGULAR
43,Shawn Baker,newtoneric@example.com,Chennai,VIP
44,Michelle Harris,william40@example.org,Hyderabad,VIP
45,Sandra Williams,kellie42@example.net,Hyderabad,REGULAR
46,Michael Hoffman,jonesnicole@example.org,Delhi,REGULAR
47,Sandra Aguilar,russellwilliams@example.com,Bangalore,REGULAR
48,Rebecca Valencia,jason31@example.com,Bangalore,VIP
49,Stacey Russell,sarayoung@example.org,Chennai,VIP
50,Rita Keith,whitesandra@example.com,Chennai,PREMIUM
51,Sharon Cochran,erik16@example.org,Kolkata,REGULAR
52,Courtney Velasquez,ybailey@example.org,Mumbai,VIP
53,Matthew Ross,michelle45@example.net,Pune,PREMIUM
54,Meghan Anthony,sheila14@example.org,Ahmedabad,REGULAR
55,Victoria Johnson,yreed@example.com,Bangalore,PREMIUM
56,William Wilson,jonathanfletcher@example.org,Mumbai,VIP
57,Renee Mcdaniel,michaeljones@example.net,Bangalore,VIP
58,Lisa Alvarado,cortezkevin@example.com,Mumbai,REGULAR
59,Erika Terry,jamesortega@example.com,Pune,REGULAR
60,Stephanie Gilbert,richard04@example.com,Delhi,VIP
61,Richard Lawson,steven73@example.net,Chennai,VIP
62,Steven Flynn,donnacampbell@example.net,Ahmedabad,REGULAR
63,Frances Cardenas,emilywalker@example.org,Kolkata,REGULAR
64,Angel Riggs,gibsonolivia@example.net,Kolkata,PREMIUM
65,Michael Snyder,dylanwatts@example.org,Ahmedabad,VIP
66,Colleen Brock,pwilliams@example.org,Bangalore,REGULAR
67,Robert Contreras,stephanie79@example.net,Pune,REGULAR
68,Jessica Meadows,vmerritt@example.com,Mumbai,VIP
69,Paul Larsen,katie87@example.net,Kolkata,REGULAR
70,Jeremiah Reeves,josephflores@example.net,Mumbai,REGULAR
71,Chris Reyes,jasminebrown@example.com,Bangalore,REGULAR
72,John Brown,xprice@example.net,Hyderabad,REGULAR
73,Alicia Gilmore,wwoods@example.com,Mumbai,REGULAR
74,Sarah Ashley,vmedina@example.net,Ahmedabad,REGULAR
75,Stephanie Freeman,ryan06@example.com,Hyderabad,REGULAR
76,Rebecca Ramsey,ncalhoun@example.net,Kolkata,PREMIUM
77,James Elliott,millerroy@example.com,Ahmedabad,PREMIUM
78,David Murphy,wmurphy@example.com,Ahmedabad,REGULAR
79,Trevor Fisher,ruizkaitlyn@example.org,Mumbai,REGULAR
80,Mrs. Marie Harrington DDS,herringjames@example.org,Hyderabad,VIP
81,Cynthia Wells,elliottjeffery@example.net,Hyderabad,VIP
82,Jacob Obrien,stricklandfrank@example.com,Chennai,REGULAR
83,Alexander Collins,tsanders@example.org,Bangalore,REGULAR
84,Michael Burton,terrykevin@example.net,Bangalore,VIP
85,Barbara Riggs,reedross@example.com,Kolkata,REGULAR
86,Matthew Smith,gshort@example.com,Mumbai,VIP
87,Madison Poole,ryangross@example.net,Bangalore,PREMIUM
88,Robert Medina,umarshall@example.net,Pune,PREMIUM
89,Samuel Rivas,ramirezshannon@example.com,Pune,REGULAR
90,Mary Rogers,lrosales@example.com,Chennai,VIP
91,Robert Peterson,angela83@example.org,Ahmedabad,PREMIUM
92,Jason Peters,hannahbrewer@example.com,Bangalore,REGULAR
93,Alan Phillips,tholt@example.net,Bangalore,REGULAR
94,Kara Schmidt,jbarajas@example.com,Delhi,REGULAR
95,Jesse Parker,davidlee@example.org,Bangalore,REGULAR
96,Tiffany Vaughn,javierwashington@example.net,Chennai,PREMIUM
97,Paige Carlson,wallkenneth@example.com,Delhi,VIP
98,Adrian Ferguson,brandon08@example.com,Hyderabad,VIP
99,Beth Oneill,agarcia@example.net,Delhi,VIP
100,John Peterson,kingmichelle@example.org,Chennai,PREMIUM
101,Jennifer Jones,hernandezlisa@example.com,Bangalore,VIP
102,David Grant,yobrien@example.net,Delhi,PREMIUM
103,Joseph Hayes,levans@example.com,Pune,REGULAR
104,Marc Lynch,mezajared@example.org,Delhi,VIP
105,Brad Allen,moorericky@example.net,Hyderabad,REGULAR
106,Doris Hall,jacqueline71@example.net,Delhi,REGULAR
107,Dennis Moody,invalid@email.com,Delhi,REGULAR
108,Derek Thomas,martinkyle@example.net,Kolkata,VIP
109,Tammy Gonzales,invalid@email.com,Chennai,VIP
110,Kathryn Snyder,georgepamela@example.net,Pune,VIP
111,David Davis,keyemily@example.com,Kolkata,REGULAR
112,Pamela Thompson,lmoon@example.net,Pune,REGULAR
113,Robert Costa,vbailey@example.com,Mumbai,VIP
114,Shannon Rivera,zroberts@example.net,Bangalore,PREMIUM
115,Brandon King,cordovarichard@example.net,Kolkata,VIP
116,April Booth,mgutierrez@example.net,Mumbai,REGULAR
117,Peter Garrett,harrisandrea@example.com,Chennai,PREMIUM
118,Michael Martinez,jennifercollins@example.org,Pune,PREMIUM
119,Anna Gay,murraydavid@example.org,Mumbai,PREMIUM
120,Dr. Jordan Hill PhD,jsanchez@example.org,Bangalore,PREMIUM
121,Thomas Romero,michellehill@example.com,Ahmedabad,REGULAR
122,Richard Adams,campbellkenneth@example.net,Ahmedabad,PREMIUM
123,Mary Grimes,wryan@example.com,Mumbai,REGULAR
124,Kimberly Gibson,molly39@example.com,Mumbai,PREMIUM
125,Reginald Williams,zthornton@example.com,Bangalore,PREMIUM
126,Matthew Hoover,tylerjohnson@example.net,Kolkata,VIP
127,Evelyn Garcia,dgarcia@example.org,Pune,REGULAR
128,Jennifer Pena,charlesharrington@example.com,Delhi,REGULAR
129,Michael Santos,melissa86@example.com,Delhi,REGULAR
130,Stacy Freeman,williamsonjimmy@example.net,Kolkata,PREMIUM
131,Yolanda Francis,wgood@example.net,Pune,PREMIUM
132,Ashlee Jackson,rebecca05@example.org,Bangalore,PREMIUM
133,James Thomas,yknight@example.org,Mumbai,PREMIUM
134,Bob Pitts,tyleraguilar@example.org,Kolkata,REGULAR
135,David Scott,nolansteven@example.com,Mumbai,PREMIUM
136,Brooke Alexander,vanessa46@example.net,Pune,VIP
137,Ryan Gonzalez,gcastaneda@example.org,Bangalore,VIP
138,Ian Phillips,andrew64@example.org,Delhi,VIP
139,Melissa Garner,lozanojulie@example.com,Kolkata,VIP
140,Crystal Pham,danaoliver@example.net,Chennai,REGULAR
141,Patricia Becker,courtneyberger@example.net,Kolkata,VIP
142,Richard Johnson,jessica14@example.com,Chennai,VIP
143,Casey Anderson,alyssa42@example.com,Kolkata,VIP
144,Terry Coffey,julie51@example.com,Delhi,PREMIUM
145,Brenda Levy,zcoffey@example.net,Pune,PREMIUM
146,Richard Smith,gibsonemily@example.net,Mumbai,VIP
147,James Little,daniel37@example.org,Chennai,VIP
148,Terri Murphy,deborahreid@example.com,Pune,REGULAR
149,Elizabeth Ortiz,brandonjohnson@example.com,Mumbai,VIP
150,David Medina,qchavez@example.net,Mumbai,REGULAR
151,Kimberly Matthews,nicolepena@example.com,Mumbai,PREMIUM
152,Teresa Ramirez,jeff73@example.com,Bangalore,PREMIUM
153,Michael Stephens,bruce43@example.org,Mumbai,VIP
154,Samantha Davis,darleneharper@example.org,Ahmedabad,PREMIUM
155,Gavin Zhang,caseyhubbard@example.org,Hyderabad,REGULAR
156,Robin Hall,kristinacarlson@example.com,Mumbai,REGULAR
157,Brianna Anderson,lauren10@example.org,Ahmedabad,REGULAR
158,Richard Young,alfred40@example.org,Bangalore,PREMIUM
159,Kelly Reese,xwest@example.net,Ahmedabad,VIP
160,Jodi Walker,acostaregina@example.net,Pune,PREMIUM
161,Judith Maynard,lutzmelanie@example.com,Kolkata,VIP
162,Katherine Browning,lammarc@example.org,Chennai,VIP
163,Donald Schultz,oscar98@example.com,Ahmedabad,PREMIUM
164,Larry Garcia,farrelldebra@example.net,Delhi,VIP
165,Cindy Hayes,robertwilcox@example.com,Mumbai,PREMIUM
166,Brandon Simmons,nicholas27@example.org,Delhi,REGULAR
167,Bradley Reynolds,lisa80@example.net,Pune,VIP
168,Kristina Santiago,qgomez@example.com,Chennai,REGULAR
169,Michelle Schmitt,michael98@example.org,Chennai,VIP
170,John Boone,megan51@example.com,Kolkata,PREMIUM
171,Renee Bruce,lynchdiane@example.net,Ahmedabad,PREMIUM
172,Christopher Park,sandra50@example.org,Kolkata,PREMIUM
173,Kylie Morales,joycebonilla@example.org,Hyderabad,VIP
174,Cindy Barnes,eric45@example.net,Hyderabad,PREMIUM
175,Sophia Moore,craigjoseph@example.net,Kolkata,PREMIUM
176,Lawrence Perry,kariwilson@example.com,Mumbai,PREMIUM
177,Michael Watkins,brandon69@example.org,Kolkata,PREMIUM
178,Eric Clark,kathrynroberts@example.org,Pune,VIP
179,Paul Thompson,opatel@example.net,Kolkata,VIP
180,Mary Gomez,chensley@example.com,Ahmedabad,REGULAR
181,Thomas Atkins,tberry@example.net,Hyderabad,PREMIUM
182,Brian Smith,george97@example.net,Hyderabad,REGULAR
183,Anita Richard,ryanmorales@example.org,Chennai,PREMIUM
184,Eric Morgan,kimberly18@example.net,Delhi,PREMIUM
185,Jordan Bullock,michael23@example.org,Ahmedabad,PREMIUM
186,Craig Morrison,thompsonkendra@example.com,Kolkata,PREMIUM
187,Justin Riley,michelle52@example.com,Kolkata,PREMIUM
188,Jeremy Turner,brittany58@example.org,Ahmedabad,REGULAR
189,Jesse Brown,chase19@example.net,Hyderabad,PREMIUM
190,Julie Spencer,colelisa@example.net,Bangalore,VIP
191,Larry Mason,hayeslisa@example.com,Hyderabad,REGULAR
192,Mrs. Maria Williams,hritter@example.net,Hyderabad,VIP
193,Helen Hardin,vortiz@example.net,Chennai,PREMIUM
194,Rachel Holland,riveraangela@example.com,Mumbai,PREMIUM
195,Nathaniel Douglas,mathewaguilar@example.org,Pune,REGULAR
196,Emily Douglas,tanderson@example.org,Bangalore,REGULAR
197,James Conner,elizabethcalderon@example.net,Bangalore,VIP
198,Susan Davis DDS,andrew42@example.org,Delhi,VIP
199,Ralph Lee,ericphillips@example.org,Kolkata,PREMIUM
200,Kimberly Rodgers,stanleynancy@example.net,Mumbai,REGULAR
201,James Martin,jenniferwilliams@example.com,Mumbai,REGULAR
202,Cynthia Wallace,karen73@example.net,Delhi,VIP
203,Vincent Mueller,michealvalentine@example.com,Bangalore,VIP
204,Douglas Reyes,mburch@example.net,Pune,VIP
205,David Davidson,angela18@example.org,Pune,REGULAR
206,Phillip Nelson,mariahdavis@example.org,Pune,REGULAR
207,Stacey Arias,gbrown@example.com,Ahmedabad,REGULAR
208,Zachary Brooks,florescory@example.net,Pune,VIP
209,Raven Taylor,samantha72@example.net,Ahmedabad,VIP
210,Luis Bullock,scottmary@example.net,Chennai,VIP
211,Lisa Henderson,john10@example.org,Delhi,VIP
212,Riley Bryant,copelandvincent@example.net,Ahmedabad,PREMIUM
