instructor_id,instructor_name,avg_score,avg_rating,total_enrolments,completed,completion_rate,rank
INS013,Unknown,73.35411764705883,3.1578947368421053,33,17,51.52,1
INS009,Suresh Gupta,74.00602409638557,2.870967741935484,170,83,48.82,2
INS001,Rajiv Sharma,72.17545454545456,3.4166666666666665,23,11,47.83,3
INS010,Anjali Iyer,68.97631578947369,3.142857142857143,120,57,47.5,4
INS002,Meera Nair,70.02799999999998,3.1125,159,75,47.17,5
INS006,Unknown,66.38722222222222,3.263157894736842,40,18,45.0,6
INS007,Vikas Mehta,67.97311475409836,3.044776119402985,141,61,43.26,7
INS014,Pooja Mishra,80.41857142857141,3.193548387096774,65,28,43.08,8
INS005,Deepak Joshi,71.58840909090907,3.2,103,44,42.72,9
INS012,Nisha Agarwal,73.1195238095238,3.0454545454545454,51,21,41.18,10
INS015,Kiran Desai,71.99074074074076,3.032258064516129,66,27,40.91,11
INS001,Unknown,67.56533333333334,3.1578947368421053,37,15,40.54,12
INS004,Sunita Rao,69.48274999999998,3.130434782608696,203,80,39.41,13
INS006,Priya Singh,73.03524390243903,2.955056179775281,210,82,39.05,14
INS003,Arjun Patel,69.77673076923075,2.8688524590163933,141,52,36.88,15
INS013,Manish Verma,67.91654545454546,2.9672131147540983,152,55,36.18,16
INS010,Unknown,70.09049999999999,2.576923076923077,56,20,35.71,17
INS008,Kavita Reddy,72.81383333333335,3.2063492063492065,172,60,34.88,18
INS015,Unknown,77.97666666666666,3.0625,48,12,25.0,19
