course_id,learner_id,enrolment_id,enrol_date,expected_completion_date,actual_completion_date,status,progress_pct,last_activity_date,assessment_score,attempts,feedback_rating,certificate_issued,learning_duration_days,completion_delay_days,learner_name,email,phone_number,city,registration_date,subscription_type,course_title,category,instructor_id,instructor_name,duration_hours,difficulty_level,price_inr,days_since_last_activity,engagement_status
CRS001,LRN0376,ENR00460,2024-01-13,2024-02-12,2024-02-21,Completed,100,2024-02-21,79.22,1,2,Yes,39,9,Preeti Bose,preeti.bose.376@hotmail.com,9573065240,Chandigarh,2023-03-25,Basic,Python for Data Science,Data Science,INS009,Suresh Gupta,15,Intermediate,2986,879,Disengaged
CRS012,LRN0078,ENR01153,2024-02-06,2024-03-17,,In Progress,15,2024-03-27,,1,,No,,,Shreya Mehta,shreya.mehta.78@outlook.com,9671369594,Mumbai,2023-11-06,Basic,Motion Graphics & Animation,Design,INS013,Manish Verma,20,Beginner,201,844,Disengaged
CRS006,LRN0360,ENR00358,2024-01-31,2024-02-10,2024-02-03,Completed,100,2024-02-03,99.66,1,5,Yes,3,-7,Ritika Pillai,ritika.pillai.360@yahoo.com,9647598762,Bhopal,2022-01-24,Free,HTML & CSS Mastery,Web Development,INS015,Unknown,5,Intermediate,2276,897,Disengaged
CRS015,LRN0300,ENR01913,2024-01-23,2024-02-02,,Dropped,12,2024-01-28,,1,,No,,,Megha Reddy,megha.reddy.300@outlook.com,9851027261,Lucknow,2022-07-20,Free,Azure Data Engineering,Cloud Computing,INS013,Manish Verma,5,Beginner,942,903,Disengaged
CRS036,LRN0193,ENR00921,2024-01-04,2024-01-24,,In Progress,51,2024-03-26,,1,,No,,,Rahul Patel,rahul.patel.193@hotmail.com,9444721264,Chennai,2023-05-11,Premium,Advanced Python OOP,Data Science,INS006,Priya Singh,10,Advanced,7011,845,Disengaged
CRS006,LRN0320,ENR01282,2024-01-08,2024-01-18,2024-01-11,Completed,100,2024-01-11,93.7,1,4,Yes,3,-7,Preeti Chatterjee,preeti.chatterjee.320@rediffmail.com,9821009968,Delhi,2022-11-09,Free,HTML & CSS Mastery,Web Development,INS015,Unknown,5,Intermediate,2276,920,Disengaged
CRS007,LRN0207,ENR01309,2024-01-17,2024-02-26,,Not Started,0,,,1,,No,,,Amit Kumar,amit.kumar.207@rediffmail.com,9341252866,Bengaluru,2023-08-12,Basic,Business Analytics Essentials,Business,INS003,Arjun Patel,20,Advanced,10604,,Disengaged
CRS052,LRN0104,ENR00947,2024-02-04,2024-04-24,2024-03-04,Completed,100,2024-03-04,97.98,1,4,Yes,29,-51,Pooja Agarwal,pooja.agarwal.104@yahoo.com,9968164535,Delhi,2023-06-07,Basic,Svelte & SvelteKit,Web Development,INS005,Deepak Joshi,40,Intermediate,4129,867,Disengaged
CRS018,LRN0393,ENR00254,2024-01-29,2024-02-28,,Dropped,30,2024-02-08,,3,,No,,,Preeti Pillai,preeti.pillai.393@gmail.com,9833146591,Surat,2023-02-28,Basic,Flutter App Development,Mobile Development,INS006,Priya Singh,15,Beginner,875,892,Disengaged
CRS040,LRN0301,ENR00965,2024-02-14,2024-03-15,,Not Started,0,,,1,,No,,,Sunita Mehta,sunita.mehta.301@hotmail.com,9735160917,Surat,2023-08-27,Enterprise,TypeScript Advanced,Web Development,INS009,Suresh Gupta,15,Beginner,786,,Disengaged
CRS060,LRN0179,ENR00531,2024-01-04,2024-02-03,,Not Started,0,,,1,,No,,,Preeti Mukherjee,preeti.mukherjee.179@rediffmail.com,9996423536,Bhopal,2022-09-09,Basic,Bayesian Statistics,Data Science,INS006,Unknown,15,Intermediate,1231,,Disengaged
CRS057,LRN0491,ENR00470,2024-03-08,2024-03-18,2024-03-24,Completed,100,2024-03-24,64.19,1,5,Yes,16,6,Megha Kapoor,megha.kapoor.491@rediffmail.com,9929751702,Delhi,2022-11-12,Free,Microservices Architecture,Cloud Computing,INS006,Priya Singh,5,Beginner,604,847,Disengaged
CRS007,LRN0279,ENR00976,2024-02-23,2024-04-03,,In Progress,65,,,1,,No,,,Suresh Pandey,suresh.pandey.279@rediffmail.com,9494717099,Delhi,2023-04-29,Premium,Business Analytics Essentials,Business,INS003,Arjun Patel,20,Advanced,10604,,Disengaged
